id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
356040,Private room,29,1,0,0.19,51.46174,-0.01652
356073,Private room,45,7,3,0.73,51.5211,0.02354
381467,Entire home/apt,143,2,0,2.18,51.4875,-0.19608
381916,Private room,70,2,0,0.49,51.4435,-0.1294
386965,Private room,35,2,0,0.06,51.48703,-0.36676
382634,Private room,54,1,1,0.03,51.55779,-0.01098
387835,Private room,38,1,35,1.59,51.42863,-0.34688
387935,Private room,80,2,0,0.02,51.56038,-0.06448
387939,Private room,34,2,0,0.84,51.52668,-0.05811
356978,Private room,42,2,0,0.07,51.52975,-0.2156
357197,Entire home/apt,55,28,0,,51.53024,-0.08936
383382,Private room,70,2,0,0.69,51.45045,-0.12258
383416,Private room,65,2,0,0.15,51.44739,-0.12319
384315,Private room,30,7,7,0.7,51.53547,-0.05543
389125,Private room,72,2,4,0.57,51.53707,-0.19483
358043,Entire home/apt,195,5,0,0.36,51.52847,-0.04278
359974,Entire home/apt,180,4,14,0.71,51.52776,-0.08271
361662,Private room,100,1,71,5.39,51.5046,-0.14886
387951,Private room,122,2,0,,51.53723,-0.11254
388030,Private room,35,1,0,0.4,51.50331,-0.24071
388032,Private room,35,2,4,1.2,51.5033,-0.24057
388037,Private room,44,3,0,0.01,51.48571,-0.36661
388306,Private room,908,1,0,0.01,51.4603,-0.22061
388387,Private room,50,2,0,,51.61587,0.0468
388411,Private room,50,1,1,0.15,51.42732,-0.19866
388644,Private room,51,2,0,0.05,51.45958,-0.10774
388663,Private room,80,1,0,0.02,51.51798,0.01687
388674,Private room,22,1,2,0.66,51.60525,-0.14453
388700,Private room,12,30,0,0.29,51.39878,-0.19798
389214,Private room,70,1,0,,51.58167,-0.31537
389544,Private room,30,2,1,0.02,51.40091298,-0.202045045
361944,Private room,25,1,18,0.84,51.39335,0.11933
389568,Private room,28,1,0,,51.58178,-0.01382
389570,Private room,48,2,0,0.12,51.59707,-0.10448
388721,Entire home/apt,155,6,0,0.12,51.56108,-0.07883
389620,Private room,100,1,0,,51.6131,-0.16563
388743,Private room,80,1,0,,51.45586,0.01176
388817,Private room,65,1,0,0.31,51.48582,-0.27241
389627,Entire home/apt,136,4,0,1.35,51.5201,-0.14258
389747,Private room,230,1,0,,51.43093,-0.08233
389793,Private room,49,1,12,1.85,51.52891,-0.21241
388995,Private room,150,1,0,,51.59075,0.08111
389862,Private room,35,3,6,0.52,51.56958,-0.14615
389967,Private room,85,2,1,0.24,51.41893,-0.23555
362026,Private room,50,6,2,0.62,51.60058,-0.11469
362621,Private room,120,1,0,,51.54145,-0.08834
390316,Private room,95,3,5,1.16,51.50275,-0.08849
389079,Private room,28,2,8,0.75,51.51127,-0.03934
389108,Private room,400,1,0,0.07,51.59322,-0.18292
390881,Entire home/apt,229,90,4,0.09,51.41575,-0.23476
390319,Private room,40,1,28,1.82,51.5084,-0.22737
390988,Private room,30,7,5,0.25,51.42446,-0.09695
391035,Private room,35,2,10,1.35,51.4651,-0.32557
393177,Private room,200,14,0,,51.55981,0.03933
362748,Private room,45,1,0,,51.5669,-0.27525
394755,Entire home/apt,80,5,0,0.01,51.54632,-0.13666
363648,Private room,87,7,0,,51.42681,0.00684
363749,Private room,86,7,0,,51.42875,0.00864
365933,Entire home/apt,98,2,16,2.28,51.48621,-0.12126
391288,Private room,35,14,0,,51.60903,0.04005
391529,Private room,28,3,0,0.05,51.46679,0.05159
391672,Private room,35,1,1,0.44,51.43079,-0.06619
391767,Private room,48,1,0,1.21,51.48888,0.00457
391808,Private room,95,2,1,1.74,51.49248,-0.13848
395062,Entire home/apt,60,5,14,1.06,51.5219,-0.32322
392141,Private room,48,1,0,0.17,51.44355,-0.19915
392246,Private room,49,1,2,0.16,51.49921,0.08801
392263,Private room,50,2,0,0.14,51.53164,-0.07
392785,Private room,177,2,5,1,51.54076,-0.09034
390320,Private room,40,1,1,2.22,51.50962,-0.22833
390356,Private room,60,1,14,2.8,51.47483,-0.16392
402739,Private room,46,3,18,0.76,51.52157,-0.09276
390535,Private room,50,7,0,0.06,51.40928,0.00591
390610,Entire home/apt,237,2,10,0.12,51.51476,-0.15813
390750,Private room,50,5,0,2.36,51.53569,-0.0775
390876,Private room,35,3,0,0.02,51.42572,-0.31003
396235,Private room,39,14,0,0.29,51.5553,-0.12141
367175,Entire home/apt,78,7,2,0.1,51.5834,0.02849
367181,Entire home/apt,150,5,0,0.15,51.56672,-0.08441
367207,Private room,75,2,10,0.85,51.51882,-0.14108
402783,Private room,60,30,0,,51.48907,-0.09553
369034,Private room,65,1,23,2.43,51.48864,-0.21614
369383,Entire home/apt,163,4,6,1.1,51.54105,-0.14275
396523,Private room,26,1,0,2.39,51.5103,0.05984
403038,Entire home/apt,195,186,0,0.12,51.48566,-0.18415
406409,Private room,457,4,0,,51.45872,-0.32277
397262,Private room,35,5,1,0.17,51.45283,-0.05073
374493,Entire home/apt,100,4,0,0.05,51.52899,-0.03612
406777,Private room,45,3,2,1.67,51.57738,-0.07805
397504,Private room,55,2,0,2.78,51.47987,-0.1833
406898,Entire home/apt,75,15,4,0.25,51.5267,-0.06295
407303,Private room,45,20,2,0.27,51.54595,-0.08388
407463,Private room,55,2,0,,51.42032,-0.161
412058,Entire home/apt,436,1,8,1.35,51.52588,-0.08098
412059,Entire home/apt,436,1,48,1.26,51.52591,-0.07978
407475,Entire home/apt,70,30,0,0.13,51.40804,-0.22837
407529,Entire home/apt,50,1,32,1.89,51.54689,-0.36273
408888,Private room,200,1,0,,51.46094,-0.11361
397507,Private room,40,1,3,0.61,51.4602,-0.18631
409043,Private room,53,2,0,0.56,51.55657,-0.05697
398147,Entire home/apt,155,3,2,0.31,51.52715,-0.11114
409444,Entire home/apt,70,10,0,0.07,51.54356,-0.06084
400267,Private room,60,28,0,0.01,51.48103,-0.20291
410018,Private room,115,3,0,,51.37207,-0.10167
412807,Private room,42,30,0,0.9,51.52135,-0.11113
410100,Private room,100,1,0,,51.4837,0.09418
414170,Private room,110,1,0,,51.63182,-0.18907
400742,Private room,100,1,0,,51.4844,0.09562
410201,Entire home/apt,75,2,0,0.03,51.4291,-0.19028
410971,Entire home/apt,109,1,1,0.44,51.46024,-0.13538
400873,Entire home/apt,200,1,0,,51.54772,0.00916
401177,Private room,64,2,0,1.2,51.4552,-0.11799
401323,Private room,48,1,0,0.04,51.54671,-0.03062
401330,Private room,33,1,0,1.14,51.58152,-0.10332
415171,Private room,50,30,0,0.18,51.5605,-0.0472
411030,Private room,50,2,0,,51.44819,-0.10234
418561,Private room,42,6,0,1,51.53672,-0.10073
415825,Entire home/apt,95,5,11,1.8,51.55305336,-0.122310325
401951,Entire home/apt,360,21,0,,51.4937,-0.01812
418750,Entire home/apt,155,12,0,0.25,51.5231,-0.21624
401972,Entire home/apt,286,4,4,0.21,51.51797,-0.21171
415926,Entire home/apt,98,6,8,1.2,51.51514,-0.19672
416047,Private room,26,5,1,0.26,51.44276,-0.0451
418857,Private room,120,1,0,,51.55779,-0.06924
416238,Entire home/apt,380,2,3,0.72,51.55653,-0.17348
411399,Private room,86,1,0,,51.48888,-0.01955
419786,Entire home/apt,250,14,0,,51.47553,0.05903
411656,Private room,70,1,0,,51.55432,-0.29468
420083,Private room,60,1,4,0.1,51.42257,-0.01299
416746,Private room,150,7,0,,51.47932,-0.10506
420605,Entire home/apt,178,1,0,,51.42556,-0.1576
416747,Private room,140,7,0,,51.47979,-0.10355
416748,Private room,140,7,0,,51.47962,-0.10313
421760,Private room,25,1,0,0.03,51.60773,-0.29447
422095,Private room,150,7,0,,51.50017,0.08404
420699,Private room,40,1,0,0.86,51.56324,-0.08406
428432,Entire home/apt,200,5,0,,51.53289,-0.01042
422308,Entire home/apt,60,2,11,1.29,51.56894,-0.07972
422748,Private room,18,2,0,0.54,51.38533,-0.12706
424511,Entire home/apt,181,7,0,,51.51316,0.04813
